OBJECTID_1,NAME,Build_Weig,Id_Folder,Name_Folde,Date,Year_Month,X,Y
639,Храм Троицы живоначальной в Вишняках,2,365,Храм_в_Вишняках,2020-06-09,202006,37.628295,55.735838
649,,2,366,Развязка_Ленинский_Вернадского,2020-06-11,202006,37.482148,55.650269
650,Церковь Успения Пресвятой Богородицы в Печатниках,2,367,Успенская_церковь,2020-06-17,202006,37.631095,55.767018
651,Главное архивное управление Москвы,3,368,Главное_архивное_управление_Москвы,2020-06-18,202006,37.539125,55.65833
652,усадьба черткова,2,369,Усадьба_Черткова,2020-06-24,202006,37.630775,55.76053
670,"2-я Бауманская ул., 3",3,370,Лефортовский_дворец,2020-07-01,202007,37.685105,55.767958
669,,6,371,Савеловская_площадь,2020-06-30,202006,37.587839,55.793004
675,,10,372,Савеловский_Сити,2020-07-03,202007,37.591069,55.803781
676,"Ленинградское ш., 73",1,373,Ленинградское_шоссе_73,2020-07-15,202007,37.445851,55.879277
677,"г. Химки, Ленинградское шоссе, д. 4",3,374,ТЦ_Торжок,2020-07-15,202007,37.438287,55.881964
678,"Ижорская ул., д. 9",5,375,ТЭЦ_21,2020-07-26,202007,37.506669,55.891489
697,"Монтажная ул., д. 1/4",5,376,ТЭЦ_23,2020-07-27,202007,37.77079,55.821631
698,"ЭНЕРГЕТИКОВ УЛ., д. 5",5,377,ТЭЦ_22,2020-07-28,202007,37.817118,55.634575
699,"Дорохова генерала ул., д. 16",5,378,ТЭЦ_25,2020-07-29,202007,37.44614,55.694789
708,"Востряковский пр., д. 10",5,379,ТЭЦ_26,2020-07-29,202007,37.630065,55.577448
716,"улица Саляма Адиля, 7с4",1,380,ГКБ_67,2020-07-30,202007,37.464968,55.774104
717,"Вавилова ул., д. 13а",5,381,ТЭЦ_20,2020-07-30,202007,37.585334,55.699978
718,"Мытищинский р-н, пос. Челобитьево",5,382,ТЭЦ_27,2020-07-31,202007,37.688512,55.914352
729,"Остаповский пр., д. 1",5,383,ТЭЦ_8,2020-07-31,202007,37.696189,55.724053
730,"Ленинская Слобода ул., д. 23",3,384,ТЭЦ_9,2020-08-03,202008,37.650256,55.705064
731,"Хорошевская 3-я ул., д. 14",5,385,ТЭЦ_16,2020-08-04,202008,37.502246,55.782624
746,"Энтузиастов шоссе, д. 32",5,386,ТЭЦ_11,2020-08-04,202008,37.730535,55.752784
747,"Ленинский проспект, 32А",4,387,РАН,2020-08-04,202008,37.577725,55.710781
752,"Новодевичий проезд, 1с5",10,388,Новодевичий_монастырь,2020-08-07,202008,37.556231,55.726036
753,Сетунь,0,389,Долина_реки_Сетунь,2020-08-27,202008,37.469962,55.71399
754,"Краснопресненская набережная, 2",3,390,Дом_Правительства,2020-08-28,202008,37.573385,55.755
755,,6,391,Развязка_МКАД_Алтуфьевское,2020-09-10,202009,37.588454,55.909808
756,,4,392,ЖК_Павлова,2020-09-15,202009,37.407339,55.7437
757,"ул. Земляной Вал, 70 строение 1",1,393,Гостиница_Movenpick,2020-09-30,202009,37.654523,55.744534
